Local time,Open,High,Low,Close,Volume
13.02.2020 13:00:00.000 GMT-0500,337.213,338.013,337.032,337.872,13.8681
13.02.2020 14:00:00.000 GMT-0500,337.873,338.123,337.562,337.883,14.6195
13.02.2020 15:00:00.000 GMT-0500,337.882,338.003,336.782,337.042,17.7184
14.02.2020 09:00:00.000 GMT-0500,337.493,337.663,336.932,337.042,11.1533
14.02.2020 10:00:00.000 GMT-0500,337.032,337.553,336.692,337.522,17.2488
14.02.2020 11:00:00.000 GMT-0500,337.523,337.723,337.242,337.302,12.1395
14.02.2020 12:00:00.000 GMT-0500,337.293,337.382,336.662,336.812,11.0496
14.02.2020 13:00:00.000 GMT-0500,336.813,337.003,336.502,336.593,12.5886
14.02.2020 14:00:00.000 GMT-0500,336.582,337.253,336.202,336.882,12.3652
14.02.2020 15:00:00.000 GMT-0500,336.883,337.622,336.542,337.562,13.5397
18.02.2020 09:00:00.000 GMT-0500,336.542,337.123,336.412,337.002,13.6563
18.02.2020 10:00:00.000 GMT-0500,336.992,337.103,336.032,336.392,13.6641
18.02.2020 11:00:00.000 GMT-0500,336.382,336.473,335.232,335.262,17.21
18.02.2020 12:00:00.000 GMT-0500,335.263,336.253,335.232,336.172,13.6057
18.02.2020 13:00:00.000 GMT-0500,336.173,336.503,336.072,336.232,10.7695
18.02.2020 14:00:00.000 GMT-0500,336.233,336.993,335.972,336.922,13.1638
18.02.2020 15:00:00.000 GMT-0500,336.923,337.173,336.422,336.722,14.1942
19.02.2020 09:00:00.000 GMT-0500,337.782,338.413,337.492,338.152,11.3948
19.02.2020 10:00:00.000 GMT-0500,338.142,338.513,337.962,338.432,16.1831
19.02.2020 11:00:00.000 GMT-0500,338.442,338.843,338.412,338.673,11.5644
19.02.2020 12:00:00.000 GMT-0500,338.662,338.933,338.562,338.753,9.0091
19.02.2020 13:00:00.000 GMT-0500,338.752,338.843,338.572,338.652,7.6143
19.02.2020 14:00:00.000 GMT-0500,338.653,339.073,338.502,338.863,9.2702
19.02.2020 15:00:00.000 GMT-0500,338.873,338.923,338.232,338.362,13.0875
20.02.2020 09:00:00.000 GMT-0500,337.762,338.433,337.562,338.263,11.317
20.02.2020 10:00:00.000 GMT-0500,338.262,338.653,338.172,338.392,16.2629
20.02.2020 11:00:00.000 GMT-0500,338.402,338.412,333.692,335.472,28.3676
20.02.2020 12:00:00.000 GMT-0500,335.482,335.782,334.592,335.722,25.4868
20.02.2020 13:00:00.000 GMT-0500,335.723,336.633,335.512,335.862,17.5888
20.02.2020 14:00:00.000 GMT-0500,335.863,337.133,335.863,336.712,15.5189
20.02.2020 15:00:00.000 GMT-0500,336.722,337.253,336.122,336.972,16.3969
21.02.2020 09:00:00.000 GMT-0500,335.502,335.822,333.452,334.132,15.1827
21.02.2020 10:00:00.000 GMT-0500,334.122,334.602,333.042,333.853,26.6828
21.02.2020 11:00:00.000 GMT-0500,333.862,334.723,333.712,334.422,19.4253
21.02.2020 12:00:00.000 GMT-0500,334.432,334.823,333.782,333.982,15.1668
21.02.2020 13:00:00.000 GMT-0500,333.982,334.283,332.602,333.082,19.2819
21.02.2020 14:00:00.000 GMT-0500,333.083,333.543,332.762,333.332,21.9503
21.02.2020 15:00:00.000 GMT-0500,333.332,333.922,332.602,333.483,18.7092
24.02.2020 09:00:00.000 GMT-0500,323.162,325.652,322.882,325.343,18.2955
24.02.2020 10:00:00.000 GMT-0500,325.332,325.853,323.622,324.772,29.8643
24.02.2020 11:00:00.000 GMT-0500,324.762,324.922,323.072,323.522,26.3726
24.02.2020 12:00:00.000 GMT-0500,323.512,323.553,322.192,322.392,25.2942
24.02.2020 13:00:00.000 GMT-0500,322.382,323.203,321.253,322.992,23.6057
24.02.2020 14:00:00.000 GMT-0500,323.002,324.892,322.072,324.712,22.6444
24.02.2020 15:00:00.000 GMT-0500,324.713,325.212,322.422,322.492,24.548
25.02.2020 09:00:00.000 GMT-0500,323.973,324.613,322.062,323.172,16.3074
25.02.2020 10:00:00.000 GMT-0500,323.153,323.582,318.472,319.832,31.9736
25.02.2020 11:00:00.000 GMT-0500,319.822,320.243,317.532,319.412,31.2101
25.02.2020 12:00:00.000 GMT-0500,319.413,319.693,316.982,317.092,24.4315
25.02.2020 13:00:00.000 GMT-0500,317.082,317.752,315.082,315.082,26.1349
25.02.2020 14:00:00.000 GMT-0500,315.102,315.232,312.092,314.182,32.51
25.02.2020 15:00:00.000 GMT-0500,314.192,315.652,311.703,312.783,32.7243
26.02.2020 09:00:00.000 GMT-0500,314.192,317.462,313.852,315.532,18.0257
26.02.2020 10:00:00.000 GMT-0500,315.522,318.123,314.672,317.172,33.6392
26.02.2020 11:00:00.000 GMT-0500,317.162,317.733,315.132,315.422,30.3734
26.02.2020 12:00:00.000 GMT-0500,315.413,315.623,312.702,314.342,33.7162
26.02.2020 13:00:00.000 GMT-0500,314.372,314.782,310.722,311.142,32.1455
26.02.2020 14:00:00.000 GMT-0500,311.132,313.133,310.762,311.413,33.3874
26.02.2020 15:00:00.000 GMT-0500,311.412,313.462,311.412,311.432,31.3573
27.02.2020 09:00:00.000 GMT-0500,305.543,306.942,303.382,305.222,19.5035
27.02.2020 10:00:00.000 GMT-0500,305.202,305.903,300.662,305.543,34.0189
27.02.2020 11:00:00.000 GMT-0500,305.533,306.992,303.662,306.563,34.6149
27.02.2020 12:00:00.000 GMT-0500,306.562,309.643,306.082,307.843,34.5632
27.02.2020 13:00:00.000 GMT-0500,307.842,309.292,303.702,304.503,34.4796
27.02.2020 14:00:00.000 GMT-0500,304.502,305.242,303.102,303.212,33.1175
27.02.2020 15:00:00.000 GMT-0500,303.213,304.363,297.682,297.703,33.5545
28.02.2020 09:00:00.000 GMT-0500,288.862,293.233,286.732,287.672,20.9462
